Age [ka],r (GoM/GRIP d18O),r (GoM/GRIP T),r (GoM/PaTh),r (GoM/Badgeley),p (GoM/GRIP d18O),p (GoM/GRIP T),p (GoM/PaTh),p (GoM/Badgeley),npoints (GoM/GRIP d18O),npoints (GoM/GRIP T),npoints (GoM/PaTh),npoints (GoM/Badgeley)
12.0,-0.7324378615699723,-0.7353577443895836,0.3258009457327175,-0.661173442260548,0.0003624163836573622,0.00033379057940452483,0.2556451164169277,0.0020532900809517836,19.0,19.0,14.0,19.0
12.1,-0.09585249775589759,-0.06722023307868713,0.4473468990912798,-0.013544799013818309,0.6962796633703963,0.7845278734294965,0.08231544415737355,0.9561110787433849,19.0,19.0,16.0,19.0
12.2,0.7466616846371149,0.7342064972198549,0.06047222929084428,0.765998539026843,0.00024029611011443144,0.000344839484519361,0.8239480508590291,0.00013150412426733777,19.0,19.0,16.0,19.0
12.3,0.4888618004235111,0.49319305098768285,0.2313824688002524,0.18573291678222817,0.033670306222406625,0.03189707276829827,0.3885542118964712,0.446484063469183,19.0,19.0,16.0,19.0
12.4,-0.515576539687507,-0.4770923345885692,0.3960057623398243,-0.7054298374111045,0.0238597388682192,0.03887643549133334,0.1289124783046334,0.0007408976603945518,19.0,19.0,16.0,19.0
12.5,-0.7797837421726042,-0.7566992045531024,0.5680506278087472,-0.8794321652857459,8.259348100389612e-05,0.00017692383201190759,0.02170009027552989,7.068753551209835e-07,19.0,19.0,16.0,19.0
12.6,-0.7849403256487338,-0.7768565079375532,0.4851604178220026,-0.8656582831060207,6.882183472112689e-05,9.141153014422265e-05,0.05679602783229831,1.688438881513863e-06,19.0,19.0,16.0,19.0
12.7,-0.7835699848117138,-0.781961224921075,0.42232592696775495,-0.8472509193254215,7.227419960033582e-05,7.651530921459654e-05,0.11683763900499924,4.709825980473399e-06,19.0,19.0,15.0,19.0
12.8,-0.8085063622733728,-0.8081471074039316,0.3681912358172496,-0.8542243525528482,2.7973494696572997e-05,2.8385568377961402e-05,0.1459117403022584,3.24589897507999e-06,19.0,19.0,17.0,19.0
12.9,-0.8717857126201738,-0.8751663940152279,0.35811968334297606,-0.8848353347513198,1.1603557715126126e-06,9.357211923684519e-07,0.15811933100265269,4.879375669438863e-07,19.0,19.0,17.0,19.0
13.0,-0.8329342174306122,-0.8495848550739266,0.6913794542437703,-0.8444562867251074,9.580791250186626e-06,4.16669793144136e-06,0.004305747697823632,5.439824558496219e-06,19.0,19.0,15.0,19.0
13.1,-0.6552356719793656,-0.6867585149847173,0.480142363350504,-0.665836920566318,0.002325615745499858,0.0011630114555249774,0.07007618031126109,0.0018584816365498577,19.0,19.0,15.0,19.0
13.2,-0.2088050272314393,-0.23048769035092864,0.1367363873972182,-0.28260478100918596,0.3909562007070241,0.34245094640819207,0.6560043877995148,0.24107424908854483,19.0,19.0,13.0,19.0
13.3,0.25905648270542536,0.25005235404932974,0.37560290668604257,0.07582258695382317,0.2841880588908945,0.3018489141742042,0.2289014073158582,0.7576944816359161,19.0,19.0,12.0,19.0
13.4,0.3802175622072664,0.3731047637618097,0.3519779173967704,0.21289265565324225,0.10831763839457288,0.1156370261058913,0.2618514266807862,0.38153454979407053,19.0,19.0,12.0,19.0
13.5,0.3388941778816608,0.33315183677397714,0.3299924833288747,0.21935956384723065,0.15580289619522555,0.16338220076654345,0.2948500304296046,0.3668905414723025,19.0,19.0,12.0,19.0
13.6,0.214630366617098,0.20668112863479016,0.330009322241607,0.04879597626484256,0.3775679700724959,0.3959018037050187,0.29482390164291244,0.8427521771848855,19.0,19.0,12.0,19.0
13.7,0.2211480542533416,0.21826640526223146,0.18445188456610848,0.007365861597110887,0.36289759426606827,0.3693433024095929,0.5463402463878824,0.976124847426443,19.0,19.0,13.0,19.0
13.8,-0.11522424066811919,-0.10688039764170318,-0.6521223474357983,-0.14573149914726846,0.6385526881169226,0.6631967301445012,0.015714155412648628,0.5516454658926884,19.0,19.0,13.0,19.0
13.9,-0.16225310444971677,-0.14071890808455556,-0.6490696878470474,-0.15644905389828576,0.5069142170565208,0.5655554700895302,0.00884047780621804,0.5224283931582946,19.0,19.0,15.0,19.0
14.0,-0.13398877737360756,-0.1204309580643569,-0.5884622686814946,-0.11717569360643498,0.5844683555489935,0.6233541566628058,0.016487712499230898,0.6328397585699481,19.0,19.0,16.0,19.0
14.1,-0.22655077226318251,-0.22222304319981961,-0.5941982001648576,-0.21426017244288006,0.35098665549737906,0.36050953896970106,0.015215076079245129,0.37841105056466584,19.0,19.0,16.0,19.0
14.2,-0.26462917604618014,-0.26660221959369157,-0.6531023691608635,-0.22476815529887767,0.2735832690945949,0.26988832861594847,0.004474116521722997,0.3548914924140463,19.0,19.0,17.0,19.0
14.3,-0.3629302532818456,-0.38896344941243177,-0.14434484885956494,-0.33941419666464834,0.12671101238057458,0.09978157652676889,0.5804516689245087,0.15512870816036087,19.0,19.0,17.0,19.0
14.4,-0.4209735879284337,-0.45184824239194,0.010103562896882735,-0.39206307434957327,0.07267135224222344,0.05211954095336401,0.9693005014428806,0.09687661597090659,19.0,19.0,17.0,19.0
14.5,-0.38073147956211834,-0.41241273421265096,-0.02167758844011338,-0.3375601134893128,0.10780201614620077,0.07931087331440549,0.9364876367595807,0.15754169586179742,19.0,19.0,16.0,19.0
14.6,-0.5743623512798515,-0.5951895441290656,0.14347119939495503,-0.5399966290870647,0.010112913033784993,0.0071798689146593975,0.5960507061790872,0.01700585050526093,19.0,19.0,16.0,19.0
14.7,-0.5962526594894582,-0.6027972921798056,0.3426665249129887,-0.5554339601175557,0.007051147653238998,0.006299473744974592,0.19386016304303713,0.013554029905215093,19.0,19.0,16.0,19.0
14.8,-0.49587722673711115,-0.48871050174219843,0.4163680077823429,-0.5484392682841317,0.030835184036035395,0.03373360257067043,0.10866629373206962,0.015040788705618783,19.0,19.0,16.0,19.0
14.9,-0.39013184747578217,-0.3778401932606079,0.3015388682812829,-0.48385370684036805,0.09867924551895008,0.11072596810889793,0.2747387769052999,0.03581498183286588,19.0,19.0,15.0,19.0
15.0,-0.2911539373538611,-0.27779280156919817,0.27476108516518327,-0.45689593114505594,0.2265208423741127,0.24952277395685396,0.3216488425325969,0.04923095254614251,19.0,19.0,15.0,19.0
15.1,-0.24941965001451685,-0.23017253634438617,0.02573643984411698,-0.6559504484156697,0.30311430594287964,0.34312975987388183,0.930407502793404,0.002291327516237377,19.0,19.0,14.0,19.0
15.2,-0.1543960085682773,-0.14908704900771488,0.03159283079708595,-0.6851762155933656,0.5279686726814299,0.5424200663999843,0.9183947561884935,0.0012065389145082444,19.0,19.0,13.0,19.0
15.3,-0.12514163930878341,-0.1272943621348308,-0.004730952344515642,-0.5863947628333436,0.6097278186967405,0.6035411010018561,0.9889856396408939,0.008319802392673494,19.0,19.0,11.0,19.0
15.4,0.13691510379756552,0.11196456668094877,-0.19876964270840516,-0.30972731711939927,0.5762120318429595,0.648138959423832,0.5579308142410717,0.19690217068200808,19.0,19.0,11.0,19.0
15.5,0.3556708787618901,0.324754936339432,-0.13852338893838848,-0.2266332982276402,0.13505684595208445,0.17491357800008234,0.6846053559652452,0.35080648321972197,19.0,19.0,11.0,19.0
15.6,0.4727016761026133,0.4525333145970161,-0.008031208204888826,0.02966822153698023,0.04096995205681559,0.05172013380922657,0.9813030721248113,0.9040338790954161,19.0,19.0,11.0,19.0
15.7,0.3999468197007706,0.3780708737290061,-0.6422678036960043,0.10028350541383595,0.0897653814452552,0.11049061653453192,0.045241872386500945,0.6829197993316114,19.0,19.0,10.0,19.0
15.8,-0.058774826208406135,-0.06573726287141266,0.1199043122566498,-0.2328930278685349,0.8111002921463675,0.7891782324121848,0.7586405715376736,0.33729580262371495,19.0,19.0,9.0,19.0
15.9,-0.3156657489645237,-0.33322842578380313,0.45789012136285273,-0.3218147886088943,0.18800392961158538,0.16327948105773593,0.15670467137649033,0.17907839845180315,19.0,19.0,11.0,19.0
16.0,-0.25574537683510684,-0.2776973975008453,0.679981131980978,-0.2788465450457829,0.2906070335891647,0.24969215266290354,0.021326232125758397,0.24765682835148078,19.0,19.0,11.0,19.0
16.1,-0.05294833404675266,-0.08516837372208168,0.6065788008563783,0.14238555570266395,0.8295504353820022,0.7288407686798957,0.03651307328196045,0.560913554885538,19.0,19.0,12.0,19.0
16.2,-0.016648215538162068,-0.02782008608850912,0.6065788008563783,0.31673889659351123,0.9460677760819406,0.9099880607720564,0.03651307328196045,0.186425162076804,19.0,19.0,12.0,19.0
16.3,0.00761472041430034,-0.013830644373628237,0.5300710936701712,0.389169753492616,0.9753184450973524,0.955185736638584,0.0624181577555861,0.09958629265791472,19.0,19.0,13.0,19.0
16.4,-0.036073450141168494,-0.05272690151519198,0.22485094512443962,0.377473723998277,0.8834378327816346,0.830253372831894,0.4396091811510342,0.11110059683107137,19.0,19.0,14.0,19.0
16.5,-0.1829386313146007,-0.19888532020327523,0.22251847233873964,0.23184818672593904,0.453473594858949,0.4143461592622495,0.44449399056162353,0.33952952217499566,19.0,19.0,14.0,19.0
16.6,-0.27151939466624425,-0.29687430370188134,0.352538779950808,0.22698231133447386,0.2608158722159336,0.21710801024349252,0.23742996719191028,0.3500451002275472,19.0,19.0,13.0,19.0
16.7,-0.23305099288717793,-0.26125548396341597,0.284738167996183,0.0015643972505526569,0.3369588447165185,0.2799736133792071,0.30366372098745437,0.9949286230366594,19.0,19.0,15.0,19.0
16.8,-0.15748181455954788,-0.1762212968795922,0.26869333138081175,-0.13500665981140392,0.5196517233508382,0.4705029672647766,0.3328787991414798,0.5815908396020664,19.0,19.0,15.0,19.0
16.9,-0.40428011659107077,-0.4177994492440061,-0.22019988354795433,-0.5609707869898981,0.08602321066612734,0.07508304361536125,0.43034767056379075,0.012462700689212208,19.0,19.0,15.0,19.0
17.0,-0.020796949090184615,-0.03609838947138258,0.14618726085771297,-0.5943961061126429,0.9326540191594763,0.8833577715970068,0.6031545074747242,0.007277178725411097,19.0,19.0,15.0,19.0
17.1,0.343005663198487,0.3311820435379192,-0.08047383169589567,-0.5419602448781643,0.1505273642943212,0.16603926539413158,0.758822870750925,0.01653153549397323,19.0,19.0,17.0,19.0
17.2,0.5075502409972467,0.49155710932343444,-0.07750486100057646,-0.519453055142623,0.03154286245892369,0.03828266011682446,0.7674862737982033,0.0271527176802432,18.0,18.0,17.0,18.0
17.3,0.6308899683368798,0.6169417540341222,-0.18384429063872257,-0.052992899493895296,0.004994190466643869,0.0063848256849461694,0.49551052696467024,0.8345771114615124,18.0,18.0,16.0,18.0
17.4,0.414213449552321,0.4053733501828463,-0.42088614500998234,-0.23902563467901178,0.08746108054625083,0.0951316272305547,0.10449607230629263,0.33945536963065437,18.0,18.0,16.0,18.0
17.5,0.3150875783162203,0.31532282580386034,0.21088439260369543,-0.10816397786883107,0.20281427443329217,0.20245895301113864,0.4330459095561293,0.6692241441543376,18.0,18.0,16.0,18.0
17.6,0.3028266923246028,0.3039670291189742,0.24953197686169876,0.2097190753355539,0.2219024555491578,0.22007987596684386,0.3341059412566173,0.40358631231939635,18.0,18.0,17.0,18.0
17.7,0.06323007306867862,0.07048067754041115,0.4500233472404124,0.15413293519333587,0.8031655433897851,0.7810874424210287,0.06989777225193465,0.5414304688623104,18.0,18.0,17.0,18.0
17.8,-0.09912080299082146,-0.09570821007367325,0.7400587411256576,0.24027322250092412,0.6955685916742216,0.7055988881337134,0.0006823201847571975,0.3368643008490988,18.0,18.0,17.0,18.0
17.9,-0.05165383321259404,-0.04724563521772996,0.7649060067564107,0.42863269584551794,0.8387046005857088,0.8523200508589726,0.0005566750905246446,0.07593041550676505,18.0,18.0,16.0,18.0
18.0,-0.03145206594069266,-0.029955272795418396,0.7006065966668986,0.43435301093855866,0.9014024866058081,0.9060745912213441,0.0025039482722544228,0.07168097143499311,18.0,18.0,16.0,18.0
18.1,-0.012913968611528392,-0.01239853473825888,0.6920688689214065,0.4648874426667046,0.9581533992545954,0.9598223080637902,0.002971979723588436,0.04490909006278836,19.0,19.0,16.0,19.0
18.2,-0.12331262818612312,-0.12409679639406167,0.43385641235215716,0.4582453221369951,0.6150042310975454,0.6127397917631366,0.09315328059287734,0.048479819460770186,19.0,19.0,16.0,19.0
18.3,0.3439343792188112,0.34814304547824737,-0.0786034533030959,0.05381327840151822,0.149353051743511,0.14411099011472073,0.7723083786128236,0.8268058624232283,19.0,19.0,16.0,19.0
18.4,0.4172110735317616,0.42483650677093887,0.317694330071966,0.020474217310041353,0.07553652722092924,0.06981455056008237,0.23050023886863874,0.9336969029284505,19.0,19.0,16.0,19.0
18.5,0.4420283599040721,0.44968354975395775,0.23487771883903058,-0.08714078658473652,0.05810556127405412,0.05339698738742266,0.41891891540822523,0.7227941691936766,19.0,19.0,14.0,19.0
18.6,0.5133975591397479,0.525788410532289,0.17837355108583275,-0.052080784512859926,0.024563684599996603,0.02076944630071927,0.5791308020142234,0.8323051747766149,19.0,19.0,12.0,19.0
18.7,0.5124941427060667,0.5205842161122237,0.1214975734258418,-0.05059515470767495,0.024860287455650016,0.022302077110736795,0.7219461505817357,0.837026843797003,19.0,19.0,11.0,19.0
18.8,0.5103326107165719,0.5147367281632482,-0.01932957842077484,-0.09655499494906858,0.02558137105802431,0.024129144531019525,0.9550163044505565,0.6941557361936448,19.0,19.0,11.0,19.0
18.9,0.40115443199366846,0.40738835641583737,-0.024342050314516285,-0.11993257898285752,0.08871076471983526,0.08341036366891755,0.9401430375199771,0.6248027690196774,19.0,19.0,12.0,19.0
19.0,0.4900319547530916,0.4974627315091074,-0.08726242707447555,-0.054388464858237916,0.03318387569207241,0.030221006928605416,0.7874180573960803,0.8249817879966252,19.0,19.0,12.0,19.0
19.1,0.6057979170278882,0.6094757798380361,0.037763962267725895,-0.008876937731948444,0.005977426006314581,0.005601167133887854,0.9025170956799098,0.9712287236237822,19.0,19.0,13.0,19.0
19.2,0.618122180149775,0.6196252279842192,-0.16424776369333688,0.08265692427789739,0.004792422358204027,0.004662143046180713,0.6099871328848281,0.7365620284588568,19.0,19.0,12.0,19.0
19.3,0.32456328616532876,0.30504842786193564,-0.29480384762690953,-0.05991976397379939,0.17518303815234806,0.20410719897528493,0.3522674720337222,0.8074856061481246,19.0,19.0,12.0,19.0
19.4,0.19182414506479667,0.18325672724168215,0.5020460214278087,0.1167767198590738,0.4314428153942187,0.4526751037370069,0.08042279189720267,0.634006160556225,19.0,19.0,13.0,19.0
19.5,0.025117124683549947,0.027760117367108695,0.4533757558464673,0.08757919965561671,0.9187044502318473,0.9101813420615245,0.0896415680335205,0.7214522963937835,19.0,19.0,15.0,19.0
19.6,-0.06944786279624553,-0.06900832400313023,0.4533757558464673,0.08334094479286573,0.7842230603145884,0.7855584596550432,0.0896415680335205,0.7504823422800706,18.0,18.0,15.0,17.0
19.7,-0.17989885029661795,-0.17528322651689374,0.28729533125405504,0.1712889453720586,0.4750339756487698,0.48662233324936066,0.31927711355324245,0.5416066368607968,18.0,18.0,14.0,15.0
