depth	min	max	median	mean
530	15551	16194	15965	15938
531	15569	16208	15984	15957
532	15589	16224	16002	15975
533	15599	16245	16020	15994
534	15615	16268	16040	16012
535	15642	16283	16062	16034
536	15663	16307	16086	16056
537	15677	16330	16108	16078
538	15693	16361	16130	16101
539	15708	16398	16149	16123
540	15729	16410	16173	16145
541	15754	16426	16196	16168
542	15766	16446	16218	16190
543	15786	16473	16242	16213
544	15803	16501	16262	16236
545	15838	16516	16283	16255
546	15867	16534	16303	16274
547	15896	16553	16321	16294
548	15910	16576	16341	16313
549	15926	16604	16360	16332
550	15949	16615	16378	16351
551	15976	16628	16397	16369
552	15998	16649	16414	16388
553	16018	16672	16434	16406
554	16032	16693	16451	16425
555	16056	16705	16473	16445
556	16072	16719	16495	16465
557	16091	16740	16518	16485
558	16103	16761	16538	16504
559	16115	16792	16556	16524
560	16150	16802	16578	16546
561	16173	16818	16599	16567
562	16198	16834	16620	16589
563	16217	16856	16640	16610
564	16229	16882	16658	16631
565	16242	16899	16680	16652
566	16263	16916	16701	16672
567	16286	16940	16721	16692
568	16308	16972	16739	16712
569	16327	17009	16758	16732
570	16341	17022	16778	16751
571	16358	17040	16796	16769
572	16375	17059	16815	16787
573	16389	17081	16834	16805
574	16399	17108	16850	16823
575	16425	17131	16873	16847
576	16448	17152	16895	16870
577	16459	17183	16916	16894
578	16476	17228	16939	16918
579	16490	17270	16959	16941
580	16518	17288	16984	16966
581	16546	17305	17009	16990
582	16569	17333	17034	17014
583	16584	17366	17054	17038
584	16597	17407	17077	17062
585	16638	17422	17102	17087
586	16665	17441	17128	17112
587	16691	17466	17155	17137
588	16717	17496	17180	17162
589	16737	17535	17205	17187
590	16768	17552	17230	17211
591	16794	17572	17254	17235
592	16816	17593	17278	17259
593	16839	17621	17301	17283
594	16857	17651	17325	17308
595	16892	17666	17351	17334
596	16922	17691	17378	17360
597	16944	17716	17405	17387
598	16973	17745	17433	17413
599	16994	17780	17457	17440
600	17036	17794	17487	17467
601	17062	17814	17516	17494
602	17083	17836	17546	17521
603	17102	17863	17573	17548
604	17123	17897	17602	17576
605	17154	17915	17630	17603
606	17188	17939	17657	17631
607	17211	17965	17685	17658
608	17233	17999	17712	17686
609	17256	18043	17735	17713
610	17295	18061	17763	17741
611	17326	18078	17792	17769
612	17355	18099	17819	17797
613	17380	18126	17847	17825
614	17403	18158	17875	17854
615	17427	18179	17900	17877
616	17452	18205	17924	17901
617	17478	18233	17946	17924
618	17497	18268	17967	17948
619	17516	18307	17989	17971
620	17540	18325	18013	17994
621	17556	18348	18037	18016
622	17575	18377	18057	18039
623	17592	18408	18079	18061
624	17611	18444	18101	18084
625	17638	18464	18123	18106
626	17655	18487	18148	18129
627	17677	18509	18172	18152
628	17693	18536	18195	18174
629	17709	18570	18218	18197
630	17738	18586	18241	18221
631	17768	18602	18265	18245
632	17786	18627	18290	18268
633	17807	18649	18313	18292
634	17825	18683	18335	18316
635	17851	18701	18359	18340
636	17884	18721	18386	18364
637	17912	18737	18410	18388
638	17934	18762	18434	18413
639	17958	18788	18455	18437
640	17989	18803	18480	18459
641	18017	18817	18504	18482
642	18046	18834	18527	18505
643	18075	18857	18548	18528
644	18086	18883	18572	18550
645	18117	18897	18594	18573
646	18145	18910	18620	18595
647	18167	18926	18645	18617
648	18183	18949	18666	18640
649	18206	18974	18689	18662
650	18229	18986	18703	18677
651	18247	18994	18721	18693
652	18261	19008	18734	18708
653	18276	19026	18748	18724
654	18298	19048	18764	18740
655	18308	19058	18777	18753
656	18317	19073	18790	18767
657	18328	19089	18804	18781
658	18338	19107	18817	18795
659	18350	19126	18829	18809
660	18375	19137	18843	18823
661	18389	19149	18858	18837
662	18411	19165	18871	18851
663	18425	19183	18885	18865
664	18442	19197	18900	18879
665	18457	19211	18914	18893
666	18471	19223	18926	18906
667	18484	19237	18940	18920
668	18498	19249	18954	18933
669	18512	19267	18968	18947
670	18530	19277	18981	18960
671	18547	19286	18993	18973
672	18560	19302	19005	18986
673	18568	19320	19017	18999
674	18577	19334	19030	19012
675	18597	19344	19044	19026
676	18612	19356	19058	19040
677	18625	19373	19072	19053
678	18632	19386	19086	19067
679	18651	19404	19100	19080
680	18669	19418	19115	19097
681	18694	19437	19131	19113
682	18710	19458	19145	19129
683	18722	19482	19160	19146
684	18733	19508	19175	19162
685	18748	19528	19192	19179
686	18764	19552	19209	19195
687	18776	19574	19225	19212
688	18794	19602	19242	19228
689	18802	19632	19255	19245
690	18824	19648	19273	19263
691	18837	19664	19290	19281
