depth	min	max	median	mean
888	22511	23402	23096	23061
889	22522	23424	23110	23076
890	22543	23435	23125	23092
891	22561	23445	23141	23107
892	22579	23461	23157	23123
893	22597	23476	23172	23139
894	22613	23497	23189	23154
895	22627	23507	23206	23170
896	22636	23520	23223	23185
897	22653	23532	23240	23201
898	22669	23551	23256	23217
899	22679	23572	23273	23232
900	22695	23582	23288	23248
901	22714	23593	23305	23264
902	22732	23604	23320	23280
903	22752	23619	23337	23296
904	22766	23638	23353	23311
905	22783	23648	23368	23326
906	22799	23665	23384	23341
907	22815	23682	23399	23356
908	22828	23699	23414	23371
